FileName,Well,Sample Description,Size [bp],Calibrated Conc. [ng/µl],Assigned Conc. [ng/µl],Peak Molarity [nmol/l],% Integrated Area,Peak Comment,Observations
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,H1,,98,1.07,,16.8,5.77,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,H1,,143,14.4,,156,77.83,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,H1,,1500,6.50,6.50,6.67,,,Upper Marker
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,A2,,25,8.33,,513,,,Lower Marker
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,A2,,76,4.14,,83.4,24.56,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,A2,,99,1.46,,22.8,8.70,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,A2,,145,11.2,,119,66.74,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,A2,,1500,6.50,6.50,6.67,,,Upper Marker
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,B2,,25,8.93,,550,,,Lower Marker
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,B2,,37,0.176,,7.34,3.09,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,B2,,48,0.274,,8.85,4.81,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,B2,,81,2.12,,40.5,37.26,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,B2,,97,0.849,,13.4,14.89,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,B2,,145,2.18,,23.2,38.25,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,B2,,1500,6.50,6.50,6.67,,,Upper Marker
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,B2,,2444,0.0966,,0.0608,1.69,,Peak outside of Sizing Range
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,C2,,25,7.36,,453,,,Lower Marker
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,C2,,80,4.29,,82.4,34.61,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,C2,,98,2.03,,31.9,16.35,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,C2,,145,5.93,,62.9,47.80,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,C2,,292,0.154,,0.809,1.24,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,C2,,1500,6.50,6.50,6.67,,,Upper Marker
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,D2,,25,7.21,,444,,,Lower Marker
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,D2,,57,0.624,,16.9,4.82,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,D2,,84,2.67,,48.6,20.58,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,D2,,146,9.66,,102,74.60,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,D2,,1500,6.50,6.50,6.67,,,Upper Marker
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,E2,,25,6.91,,425,,,Lower Marker
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,E2,,78,3.43,,67.7,26.24,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,E2,,98,1.11,,17.5,8.49,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,E2,,145,8.54,,90.8,65.27,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,E2,,1500,6.50,6.50,6.67,,,Upper Marker
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,F2,,25,7.03,,433,,,Lower Marker
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,F2,,81,2.98,,56.5,21.26,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,F2,,98,0.860,,13.5,6.13,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,F2,,143,10.2,,109,72.61,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,F2,,1500,6.50,6.50,6.67,,,Upper Marker
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,G2,,25,6.77,,417,,,Lower Marker
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,G2,,75,3.06,,62.8,21.43,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,G2,,97,1.38,,21.8,9.66,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,G2,,141,9.85,,107,68.91,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,G2,,1500,6.50,6.50,6.67,,,Upper Marker
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,H2,,25,7.26,,447,,,Lower Marker
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,H2,,78,4.24,,83.2,26.76,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,H2,,96,1.20,,19.2,7.55,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,H2,,140,10.3,,113,64.99,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,H2,,684,0.112,,0.251,0.70,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,H2,,1500,6.50,6.50,6.67,,,Upper Marker
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,EL2,Electronic Ladder,25,5.22,,321,,,Lower Marker
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,EL2,Electronic Ladder,50,2.25,,69.3,11.11,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,EL2,Electronic Ladder,100,2.37,,36.5,11.71,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,EL2,Electronic Ladder,200,2.47,,19.0,12.20,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,EL2,Electronic Ladder,300,2.55,,13.1,12.56,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,EL2,Electronic Ladder,400,2.57,,9.87,12.66,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,EL2,Electronic Ladder,500,2.71,,8.33,13.36,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,EL2,Electronic Ladder,700,2.46,,5.41,12.15,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,EL2,Electronic Ladder,1000,2.89,,4.44,14.25,,
