FileName,Well,Sample Description,Size [bp],Calibrated Conc. [ng/µl],Assigned Conc. [ng/µl],Peak Molarity [nmol/l],% Integrated Area,Peak Comment,Observations
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,E5,,97,1.62,,25.8,10.56,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,E5,,142,8.95,,97.1,58.30,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,E5,,1500,6.50,6.50,6.67,,,Upper Marker
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,F5,,25,6.89,,424,,,Lower Marker
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,F5,,77,3.60,,71.5,19.74,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,F5,,97,1.24,,19.7,6.82,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,F5,,141,12.3,,134,67.30,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,F5,,253,0.952,,5.78,5.22,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,F5,,658,0.168,,0.392,0.92,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,F5,,1500,6.50,6.50,6.67,,,Upper Marker
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,G5,,25,7.49,,461,,,Lower Marker
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,G5,,47,0.0971,,3.17,1.15,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,G5,,72,2.41,,51.4,28.39,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,G5,,94,0.861,,14.1,10.15,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,G5,,135,5.05,,57.5,59.52,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,G5,,1500,6.50,6.50,6.67,,,Upper Marker
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,G5,,2260,0.0675,,0.0460,0.80,,Peak outside of Sizing Range
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,H5,,25,7.03,,433,,,Lower Marker
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,H5,,80,2.93,,56.4,16.51,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,H5,,96,0.866,,13.9,4.88,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,H5,,138,13.9,,155,78.60,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,H5,,1500,6.50,6.50,6.67,,,Upper Marker
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,A6,,25,6.89,,424,,,Lower Marker
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,A6,,80,2.19,,41.9,14.98,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,A6,,98,1.03,,16.1,7.01,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,A6,,146,11.4,,121,78.01,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,A6,,1500,6.50,6.50,6.67,,,Upper Marker
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,B6,,25,7.00,,431,,,Lower Marker
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,B6,,84,3.19,,58.4,20.38,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,B6,,98,1.14,,17.8,7.27,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,B6,,145,11.3,,120,72.36,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,B6,,1500,6.50,6.50,6.67,,,Upper Marker
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,C6,,25,6.85,,421,,,Lower Marker
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,C6,,78,4.77,,94.6,32.81,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,C6,,98,1.54,,24.3,10.60,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,C6,,144,8.23,,87.9,56.59,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,C6,,1500,6.50,6.50,6.67,,,Upper Marker
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,D6,,25,6.35,,391,,,Lower Marker
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,D6,,83,2.82,,52.2,18.49,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,D6,,98,0.756,,11.8,4.96,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,D6,,146,11.7,,123,76.55,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,D6,,1500,6.50,6.50,6.67,,,Upper Marker
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,E6,,25,6.51,,401,,,Lower Marker
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,E6,,83,1.16,,21.4,7.83,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,E6,,99,0.988,,15.3,6.68,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,E6,,146,12.7,,133,85.49,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,E6,,1500,6.50,6.50,6.67,,,Upper Marker
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,F6,,25,6.76,,416,,,Lower Marker
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,F6,,79,3.22,,62.3,17.55,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,F6,,97,1.06,,16.9,5.79,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,F6,,141,14.1,,153,76.66,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,F6,,1500,6.50,6.50,6.67,,,Upper Marker
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,G6,,25,6.71,,413,,,Lower Marker
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,G6,,76,4.47,,90.3,27.13,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,G6,,97,1.46,,23.3,8.88,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,G6,,141,10.6,,115,64.00,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,G6,,1500,6.50,6.50,6.67,,,Upper Marker
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,H6,,25,7.05,,434,,,Lower Marker
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,H6,,80,2.72,,52.4,18.48,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,H6,,96,0.868,,13.9,5.90,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,H6,,139,11.1,,123,75.63,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,H6,,1500,6.50,6.50,6.67,,,Upper Marker
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,EL4,Electronic Ladder,25,5.22,,321,,,Lower Marker
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,EL4,Electronic Ladder,50,2.25,,69.3,11.11,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,EL4,Electronic Ladder,100,2.37,,36.5,11.71,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,EL4,Electronic Ladder,200,2.47,,19.0,12.20,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,EL4,Electronic Ladder,300,2.55,,13.1,12.56,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,EL4,Electronic Ladder,400,2.57,,9.87,12.66,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,EL4,Electronic Ladder,500,2.71,,8.33,13.36,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,EL4,Electronic Ladder,700,2.46,,5.41,12.15,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,EL4,Electronic Ladder,1000,2.89,,4.44,14.25,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,EL4,Electronic Ladder,1500,6.50,6.50,6.67,,,Upper Marker
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,A7,,25,7.30,,449,,,Lower Marker
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,A7,,78,3.50,,69.1,15.68,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,A7,,146,16.7,,176,74.87,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,A7,,256,2.11,,12.7,9.45,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,A7,,1500,6.50,6.50,6.67,,,Upper Marker
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,B7,,25,6.88,,423,,,Lower Marker
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,B7,,79,5.08,,99.5,24.60,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,B7,,98,1.33,,20.9,6.45,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,B7,,144,14.2,,152,68.95,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,B7,,1500,6.50,6.50,6.67,,,Upper Marker
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,C7,,25,7.15,,440,,,Lower Marker
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,C7,,76,3.82,,77.7,14.09,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,C7,,145,20.8,,220,76.69,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,C7,,255,2.50,,15.1,9.22,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,C7,,1500,6.50,6.50,6.67,,,Upper Marker
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,D7,,25,6.97,,429,,,Lower Marker
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,D7,,81,4.37,,82.8,17.48,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,D7,,143,18.8,,202,75.29,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,D7,,253,1.80,,11.0,7.22,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,D7,,1500,6.50,6.50,6.67,,,Upper Marker
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,E7,,25,7.06,,434,,,Lower Marker
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,E7,,80,3.44,,66.6,15.57,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,E7,,98,1.49,,23.4,6.72,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,E7,,144,15.2,,163,68.82,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,E7,,251,1.22,,7.47,5.52,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,E7,,313,0.745,,3.67,3.37,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,E7,,1500,6.50,6.50,6.67,,,Upper Marker
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,F7,,25,6.96,,428,,,Lower Marker
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,F7,,82,3.67,,69.0,17.54,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,F7,,144,15.5,,166,73.96,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,F7,,253,1.78,,10.8,8.50,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,F7,,1500,6.50,6.50,6.67,,,Upper Marker
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,G7,,25,7.14,,439,,,Lower Marker
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,G7,,79,3.42,,66.9,11.77,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,G7,,142,22.7,,246,78.15,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,G7,,258,2.93,,17.5,10.08,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,G7,,1500,6.50,6.50,6.67,,,Upper Marker
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,H7,,25,7.09,,436,,,Lower Marker
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,H7,,79,3.74,,72.6,16.34,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,H7,,97,1.05,,16.6,4.59,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,H7,,141,16.2,,176,70.75,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,H7,,253,1.91,,11.6,8.33,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,H7,,1500,6.50,6.50,6.67,,,Upper Marker
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,A8,,25,7.45,,459,,,Lower Marker
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,A8,,73,7.63,,160,29.99,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,A8,,98,2.55,,39.9,10.02,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,A8,,146,13.4,,141,52.70,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,A8,,254,1.70,,10.3,6.69,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,A8,,532,0.154,,0.446,0.61,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,A8,,1500,6.50,6.50,6.67,,,Upper Marker
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,B8,,25,7.41,,456,,,Lower Marker
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,B8,,80,3.67,,70.2,13.15,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,B8,,99,1.26,,19.5,4.49,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,B8,,146,21.0,,221,75.32,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,B8,,264,1.97,,11.5,7.04,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,B8,,1500,6.50,6.50,6.67,,,Upper Marker
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,C8,,25,7.15,,440,,,Lower Marker
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,C8,,83,2.77,,51.1,13.43,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,C8,,99,0.910,,14.1,4.42,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,C8,,146,16.9,,179,82.16,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,C8,,1500,6.50,6.50,6.67,,,Upper Marker
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,D8,,25,7.25,,446,,,Lower Marker
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,D8,,79,4.06,,78.8,17.62,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,D8,,98,1.18,,18.5,5.14,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,D8,,144,15.8,,169,68.77,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,D8,,255,1.95,,11.8,8.47,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,D8,,1500,6.50,6.50,6.67,,,Upper Marker
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,E8,,25,7.94,,489,,,Lower Marker
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,E8,,41,0.174,,6.60,1.53,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,E8,,46,0.204,,6.77,1.79,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,E8,,81,2.00,,37.8,17.61,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,E8,,99,0.715,,11.2,6.29,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,E8,,145,8.11,,86.1,71.39,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,E8,,294,0.0746,,0.390,0.66,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,E8,,493,0.0827,,0.258,0.73,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,E8,,1500,6.50,6.50,6.67,,,Upper Marker
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,F8,,25,6.56,,404,,,Lower Marker
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,F8,,78,5.13,,101,30.73,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,F8,,98,1.31,,20.6,7.87,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,F8,,145,9.75,,104,58.39,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,F8,,256,0.502,,3.02,3.00,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,F8,,1500,6.50,6.50,6.67,,,Upper Marker
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,G8,,25,7.11,,437,,,Lower Marker
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,G8,,74,4.40,,91.8,34.12,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,G8,,96,1.51,,24.3,11.75,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,G8,,139,6.97,,77.4,54.13,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,G8,,1500,6.50,6.50,6.67,,,Upper Marker
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,H8,,25,7.43,,457,,,Lower Marker
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,H8,,77,3.87,,77.3,25.14,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,H8,,96,1.44,,23.1,9.38,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,H8,,139,9.69,,108,62.92,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,H8,,291,0.257,,1.36,1.67,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,H8,,390,0.137,,0.539,0.89,,
20220407_Post-6806-REF_kk10 - 2022-04-07 - 09.05.47.D1000,H8,,1500,6.50,6.50,6.67,,,Upper Marker
