FileName,Well,Sample Description,Size [bp],Calibrated Conc. [ng/µl],Assigned Conc. [ng/µl],Peak Molarity [nmol/l],% Integrated Area,Peak Comment,Observations
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,A7,,45,0.213,,7.27,26.10,,
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,A7,,1500,6.50,6.50,6.67,,,Upper Marker
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,B7,,25,8.17,,503,,,Lower Marker
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,B7,,45,0.406,,13.9,100.00,,
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,B7,,1500,6.50,6.50,6.67,,,Upper Marker
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,C7,,25,7.83,,482,,,Lower Marker
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,C7,,45,0.481,,16.6,100.00,,
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,C7,,1500,6.50,6.50,6.67,,,Upper Marker
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,D7,,25,8.10,,499,,,Lower Marker
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,D7,,45,0.466,,16.0,100.00,,
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,D7,,1500,6.50,6.50,6.67,,,Upper Marker
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,E7,,25,7.92,,488,,,Lower Marker
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,E7,,45,0.240,,8.27,100.00,,
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,E7,,1500,6.50,6.50,6.67,,,Upper Marker
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,F7,,25,8.01,,493,,,Lower Marker
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,F7,,36,0.470,,20.2,52.58,,
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,F7,,41,0.424,,15.8,47.42,,
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,F7,,1500,6.50,6.50,6.67,,,Upper Marker
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,G7,,25,8.14,,501,,,Lower Marker
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,G7,,45,0.516,,17.8,100.00,,
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,G7,,1500,6.50,6.50,6.67,,,Upper Marker
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,H7,,25,8.07,,497,,,Lower Marker
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,H7,,36,0.530,,22.6,39.03,,
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,H7,,42,0.828,,30.4,60.97,,
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,H7,,1500,6.50,6.50,6.67,,,Upper Marker
