FileName,Well,Sample Description,Size [bp],Calibrated Conc. [ng/µl],Assigned Conc. [ng/µl],Peak Molarity [nmol/l],% Integrated Area,Peak Comment,Observations
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,A2,,1500,6.50,6.50,6.67,,,Upper Marker
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,B2,,25,9.71,,598,,,Lower Marker
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,B2,,37,0.442,,18.3,58.66,,
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,B2,,45,0.312,,10.6,41.34,,
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,B2,,1500,6.50,6.50,6.67,,,Upper Marker
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,C2,,25,9.18,,565,,,Lower Marker
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,C2,,45,0.503,,17.2,100.00,,
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,C2,,1500,6.50,6.50,6.67,,,Upper Marker
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,D2,,25,8.51,,524,,,Lower Marker
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,D2,,45,0.409,,14.0,100.00,,
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,D2,,1500,6.50,6.50,6.67,,,Upper Marker
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,E2,,25,8.43,,519,,,Lower Marker
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,E2,,37,0.241,,9.96,45.53,,
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,E2,,45,0.288,,9.89,54.47,,
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,E2,,1500,6.50,6.50,6.67,,,Upper Marker
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,F2,,25,8.39,,516,,,Lower Marker
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,F2,,37,0.287,,11.8,47.85,,
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,F2,,46,0.313,,10.5,52.15,,
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,F2,,1500,6.50,6.50,6.67,,,Upper Marker
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,G2,,25,8.48,,522,,,Lower Marker
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,G2,,34,0.727,,32.6,100.00,,
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,G2,,1500,6.50,6.50,6.67,,,Upper Marker
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,H2,,25,8.95,,551,,,Lower Marker
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,H2,,35,0.603,,26.5,70.01,,
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,H2,,43,0.258,,9.16,29.99,,
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,H2,,1500,6.50,6.50,6.67,,,Upper Marker
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,EL2,Electronic Ladder,25,5.22,,321,,,Lower Marker
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,EL2,Electronic Ladder,50,2.25,,69.3,11.11,,
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,EL2,Electronic Ladder,100,2.37,,36.5,11.71,,
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,EL2,Electronic Ladder,200,2.47,,19.0,12.20,,
20220407_Post-6806-NTC_kk10 - 2022-04-07 - 09.06.01.D1000,EL2,Electronic Ladder,300,2.55,,13.1,12.56,,
