Sample_ID,EIO_02,EIO_25,EIO_08,EIO_23,EIO_17,EIO_12,EIO_15,EIO_21,EIO_03,EIO_26,EIO_29,EIO_31,EIO_18,EIO_09,EIO_47,EIO_46,EIO_13,EIO_38,EIO_43,EIO_44,EIO_06,EIO_33,EIO_40,EIO_35,EIO_28,EIO_41,EIO_39,EIO_11,EIO_48,EIO_22,EIO_37,EIO_32,EIO_24,EIO_20,EIO_45,EIO_14,EIO_42,EIO_19,EIO_10,EIO_01,EIO_16,EIO_27,EIO_04,EIO_05,EIO_34,EIO_36,EIO_07,EIO_30
T_G_Set2_48,0,0,0,0,0,0,4,0,0,0,0,1,16,0,44,1,1,0,1,0,1,0,20,1,0,23,0,20,626304,1,0,0,0,0,0,0,1,1,0,0,65,0,31,1,0,0,0,0
T_G_Set3_01,0,12,1,0,1,36,1,1,3,0,2,7,0,1,0,0,1,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,522661,0,0,0,0,0,0,0,0
T_G_Set3_02,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,0,0,0
T_G_Set3_03,0,0,1,0,1,0,4,0,471878,0,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,3,5,1,0,0,0,0,0,0
T_G_Set3_04,0,0,0,3,0,0,1,0,22,0,0,0,0,0,0,2,1,0,0,0,12,1,0,0,2,0,0,2,2,0,1,0,1,0,0,0,1,4,0,0,0,0,613688,1,1,0,0,0
T_G_Set3_05,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,471584,2,0,0,3
T_G_Set3_06,0,0,22,1,0,0,3,0,0,7,0,1,0,0,0,0,3,0,0,0,509996,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
T_G_Set3_07,1,0,17,2,1,0,7,24,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,41,0,0,0,0,0,0,0,1,0,0,10,0,0,0,0,322080,0
T_G_Set3_08,0,0,565734,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0
T_G_Set3_09,1,0,3,0,0,0,0,0,1,0,0,0,0,535419,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
T_G_Set3_10,1,0,1,0,0,130,4,0,0,0,1,31,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,3,0,1,0,0,0,0,4,0,3,0,482525,0,0,0,0,1,0,0,0,0
T_G_Set3_11,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,402459,0,0,0,0,0,0,173,0,4,0,1,0,0,0,0,0,0,0,0,0
T_G_Set3_12,0,1,6,0,0,773853,2,0,0,0,3,0,0,0,0,0,0,0,1,1,0,0,44,0,5,24,0,110,0,0,0,1,0,12,25,0,29,0,1,2,0,0,1,0,0,1,0,0
T_G_Set3_13,1,0,1,0,0,3,2,6,1,1,0,12,5,29,1,0,356270,1,0,0,0,0,12,0,0,1,0,9,0,0,38,0,0,0,2,71,1,0,1,1,0,0,0,1,0,0,0,0
T_G_Set3_14,0,0,0,0,0,13,1,0,1,373,0,1,247,0,1,2,1,1,21,0,0,0,0,0,0,2,36,2,0,2,1,1,0,0,2,688307,2,0,33,0,0,0,1,0,0,0,0,0
T_G_Set3_15,0,0,0,5,0,0,755795,1,79,0,0,6,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,2,0,0,1,2,0,0,0,0,7,1,0,0,0,0,0,1
T_G_Set3_16,0,0,0,117,1,1,1,5,1,0,0,4,5,0,0,0,0,1,1,0,0,0,0,0,4,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,589792,1,0,0,0,2,0,1
T_G_Set3_17,431,0,0,1,480630,0,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0
T_G_Set3_18,0,7,0,0,0,15,0,0,0,2,0,1,604298,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,2,1,0,7,0,7,0,216,0,1,0,0,0,0,0,0,0
T_G_Set3_19,0,0,32,14,0,0,6,0,0,1,1,2,0,1,0,1,0,4,0,0,1,0,0,0,1,0,1,0,2,1,0,0,0,0,0,0,3,708977,0,0,0,4,0,2,1,0,0,2
T_G_Set3_20,2,0,1,0,0,0,2,0,0,0,0,0,1,0,1,0,3,1,0,0,0,0,0,1,2,0,31,61,0,0,1,0,0,628354,0,1,2,0,1,0,0,12,0,0,0,0,0,0
T_G_Set3_21,0,1,0,0,0,2,1,479775,0,0,212,0,1,0,0,1,0,0,0,156,0,0,0,0,6,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,4,1,1,0,1,0
T_G_Set3_22,0,0,1,0,0,0,2,1,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,455794,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1
T_G_Set3_23,1,1,0,599184,1,0,1,7,2,0,4,109,1,20,1,0,0,0,0,0,0,0,1,0,2,0,1,56,1,4,0,0,0,0,1,0,0,0,0,1,592,2,0,0,1,2,22,0
T_G_Set3_24,0,0,5,0,12,1,3,1,1,0,0,2,0,26,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,32,0,0,635009,1,1,0,6,0,0,0,0,0,0,0,55,0,0,2
T_G_Set3_25,0,284749,0,0,4,20,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,14,0,0,0,0,0,0,0,0
T_G_Set3_26,0,0,0,0,0,0,0,0,0,575425,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,22,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,2,3,0,0,0
T_G_Set3_27,133,0,0,0,0,7,3,0,0,3,0,0,0,1,0,0,9,1,0,0,0,0,4,0,0,3,0,1,0,0,0,0,0,0,2,8,0,0,1,0,1,450048,0,1,6,0,2,0
T_G_Set3_28,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,0,0,0,0,0,284700,0,0,0,0,2,0,0,0,3,0,0,0,0,0,1,0,0,1,0,1,2,0,0
T_G_Set3_29,0,2,0,0,0,2,0,1,2,0,407413,1,0,1,0,0,0,0,0,0,0,1,0,0,22,0,0,0,0,0,12,0,0,0,1,0,0,0,0,1,2,0,0,1,0,0,1,0
T_G_Set3_30,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,4,1,14,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,333760
T_G_Set3_31,0,0,0,0,0,0,1,12,0,0,6,626173,0,0,1,0,2,0,0,0,0,0,1,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,1,0,0,290,0
T_G_Set3_32,0,1,0,0,0,0,56,0,1,0,0,0,0,0,0,0,0,18,21,0,0,0,0,0,0,0,0,0,0,6,0,680663,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
T_G_Set3_33,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,461964,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
T_G_Set3_34,0,0,153,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,46,0,0,0,0,1,0,0,0,2,0,0,2,0,0,1,134,572269,0,0,0
T_G_Set3_35,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,4,1,0,307379,0,1,0,0,0,0,0,0,68,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0
