FileName,Well,Sample Description,Size [bp],Calibrated Conc. [ng/µl],Assigned Conc. [ng/µl],Peak Molarity [nmol/l],% Integrated Area,Peak Comment,Observations
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,E1,LPAManualBuild1_Hypo,1500,6.50,6.50,6.67,,,Upper Marker
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,E1,LPAManualBuild1_Hypo,2108,0.0521,,0.0380,8.14,,Peak outside of Sizing Range
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,F1,LPAManualBuild1_Hypo,25,6.34,,390,,,Lower Marker
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,F1,LPAManualBuild1_Hypo,97,0.351,,5.57,59.88,,
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,F1,LPAManualBuild1_Hypo,217,0.0550,,0.390,9.40,,
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,F1,LPAManualBuild1_Hypo,334,0.0437,,0.201,7.46,,
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,F1,LPAManualBuild1_Hypo,470,0.136,,0.446,23.27,,
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,F1,LPAManualBuild1_Hypo,1500,6.50,6.50,6.67,,,Upper Marker
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,G1,LPAManualBuild1_Hypo,25,6.23,,384,,,Lower Marker
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,G1,LPAManualBuild1_Hypo,96,0.333,,5.36,61.06,,
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,G1,LPAManualBuild1_Hypo,212,0.0528,,0.383,9.69,,
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,G1,LPAManualBuild1_Hypo,328,0.0351,,0.165,6.44,,
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,G1,LPAManualBuild1_Hypo,463,0.124,,0.413,22.81,,
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,G1,LPAManualBuild1_Hypo,1500,6.50,6.50,6.67,,,Upper Marker
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,H1,LPAManualBuild1_Hypo,25,6.03,,371,,,Lower Marker
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,H1,LPAManualBuild1_Hypo,96,0.351,,5.61,63.80,,
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,H1,LPAManualBuild1_Hypo,213,0.0547,,0.395,9.95,,
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,H1,LPAManualBuild1_Hypo,332,0.0326,,0.151,5.94,,
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,H1,LPAManualBuild1_Hypo,465,0.112,,0.370,20.31,,
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,H1,LPAManualBuild1_Hypo,1500,6.50,6.50,6.67,,,Upper Marker
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,A2,LPAManualBuild1_Res,25,7.01,,431,,,Lower Marker
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,A2,LPAManualBuild1_Res,97,0.358,,5.65,60.56,,
