FileName,WellId,Sample Description,From [bp],To [bp],Average Size [bp],Conc. [ng/µl],Region Molarity [nmol/l],% of Total,Region Comment
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,D2,LPAManualBuild1_Res,140,700,428,0.263,1.06,16.39,total
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,D2,LPAManualBuild1_Res,190,280,228,0.0271,0.196,1.69,dimer
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,D2,LPAManualBuild1_Res,400,700,483,0.187,0.612,11.67,double_ligated
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,E2,LPAManualBuild1_Res,140,700,425,0.303,1.21,18.82,total
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,E2,LPAManualBuild1_Res,190,280,226,0.0327,0.234,2.03,dimer
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,E2,LPAManualBuild1_Res,400,700,480,0.212,0.692,13.15,double_ligated
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,F2,LPAManualBuild1_Res,140,700,420,0.283,1.15,17.91,total
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,F2,LPAManualBuild1_Res,190,280,224,0.0316,0.230,2.00,dimer
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,F2,LPAManualBuild1_Res,400,700,477,0.195,0.640,12.32,double_ligated
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,G2,LPAManualBuild1_Res,140,700,424,0.264,1.06,15.36,total
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,G2,LPAManualBuild1_Res,190,280,222,0.0248,0.182,1.44,dimer
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,G2,LPAManualBuild1_Res,400,700,477,0.187,0.614,10.86,double_ligated
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,H2,LPAManualBuild1_Res,140,700,413,0.265,1.09,17.25,total
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,H2,LPAManualBuild1_Res,190,280,221,0.0303,0.221,1.97,dimer
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,H2,LPAManualBuild1_Res,400,700,471,0.179,0.596,11.67,double_ligated
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,A3,LPAManualBuild1_Hyper,140,700,412,0.242,1.06,12.36,total
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,A3,LPAManualBuild1_Hyper,190,280,226,0.0351,0.265,1.79,dimer
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,A3,LPAManualBuild1_Hyper,400,700,479,0.160,0.539,8.19,double_ligated
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,B3,LPAManualBuild1_Hyper,140,700,416,0.244,1.05,14.29,total
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,B3,LPAManualBuild1_Hyper,190,280,222,0.0298,0.233,1.74,dimer
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,B3,LPAManualBuild1_Hyper,400,700,478,0.166,0.558,9.69,double_ligated
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,C3,LPAManualBuild1_Hyper,140,700,419,0.274,1.12,15.85,total
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,C3,LPAManualBuild1_Hyper,190,280,222,0.0317,0.232,1.83,dimer
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,C3,LPAManualBuild1_Hyper,400,700,479,0.185,0.610,10.73,double_ligated
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,D3,LPAManualBuild1_Hyper,140,700,410,0.256,1.11,13.75,total
20230307_LPALIG_MANBUILD1_SS32 - 2023-03-07 - 11.07.47.D1000,D3,LPAManualBuild1_Hyper,190,280,224,0.0335,0.249,1.79,dimer
