TYPE,SET,EIO,i7,oligo_reads,total_oligo_reads,perc_reads,predicted_perc_contam
T,Set3,17,29,0,481073,0.0,0.0
T,Set3,18,29,0,604560,0.0,0.0
T,Set3,19,29,1,709057,0.0,0.0
T,Set3,20,29,0,628477,0.0,0.0
T,Set3,21,29,212,480165,0.04,0.04
T,Set3,22,29,2,455809,0.0,0.0
T,Set3,23,29,4,600018,0.0,0.0
T,Set3,24,29,0,635161,0.0,0.0
T,Set3,25,29,0,284795,0.0,0.0
T,Set3,26,29,0,575463,0.0,0.0
T,Set3,27,29,0,450234,0.0,0.0
T,Set3,28,29,0,284717,0.0,0.0
T,Set3,30,29,0,333803,0.0,0.0
T,Set3,31,29,6,626498,0.0,0.0
T,Set3,32,29,0,680767,0.0,0.0
T,Set3,33,29,0,461972,0.0,0.0
T,Set3,34,29,0,572614,0.0,0.0
T,Set3,35,29,0,307460,0.0,0.0
T,Set3,36,29,2,396936,0.0,0.0
T,Set3,37,29,0,378078,0.0,0.0
T,Set3,38,29,0,443384,0.0,0.0
T,Set3,39,29,0,511738,0.0,0.0
T,Set3,40,29,3,673086,0.0,0.0
T,Set3,41,29,0,679858,0.0,0.0
T,Set3,42,29,0,406050,0.0,0.0
T,Set3,43,29,0,538908,0.0,0.0
T,Set3,44,29,0,426884,0.0,0.0
T,Set3,45,29,0,380410,0.0,0.0
T,Set3,46,29,0,521870,0.0,0.0
T,Set3,47,29,1,613812,0.0,0.0
T,Set3,48,29,0,698162,0.0,0.0
T,Set1,01,31,29,681223,0.0,0.0
T,Set1,02,31,1,559349,0.0,0.0
T,Set1,03,31,0,694455,0.0,0.0
T,Set1,04,31,0,584755,0.0,0.0
T,Set1,05,31,0,693708,0.0,0.0
T,Set1,06,31,2,652522,0.0,0.0
T,Set1,07,31,3,661860,0.0,0.0
T,Set1,08,31,1,697079,0.0,0.0
T,Set1,09,31,2,722325,0.0,0.0
T,Set1,10,31,48,819362,0.01,0.01
T,Set1,11,31,1,666345,0.0,0.0
T,Set1,12,31,0,508394,0.0,0.0
T,Set1,13,31,28,622116,0.0,0.0
T,Set1,14,31,0,666038,0.0,0.0
T,Set1,15,31,1,700503,0.0,0.0
T,Set1,16,31,7,659421,0.0,0.0
T,Set1,17,31,0,649326,0.0,0.0
T,Set1,18,31,0,419022,0.0,0.0
T,Set1,19,31,0,632509,0.0,0.0
T,Set1,20,31,0,1069884,0.0,0.0
T,Set1,21,31,0,601771,0.0,0.0
T,Set1,22,31,0,557655,0.0,0.0
T,Set1,23,31,104,667898,0.02,0.02
T,Set1,24,31,0,575151,0.0,0.0
T,Set1,25,31,0,469824,0.0,0.0
T,Set1,26,31,0,680819,0.0,0.0
T,Set1,27,31,0,497186,0.0,0.0
T,Set1,28,31,0,724335,0.0,0.0
T,Set1,29,31,0,618673,0.0,0.0
T,Set1,30,31,3,586235,0.0,0.0
T,Set1,32,31,0,823799,0.0,0.0
T,Set1,33,31,1,430433,0.0,0.0
T,Set1,34,31,0,485391,0.0,0.0
T,Set1,35,31,0,675415,0.0,0.0
T,Set1,36,31,0,388948,0.0,0.0
T,Set1,37,31,0,714834,0.0,0.0
T,Set1,38,31,0,502888,0.0,0.0
T,Set1,39,31,0,746041,0.0,0.0
T,Set1,40,31,1,844512,0.0,0.0
T,Set1,41,31,0,701472,0.0,0.0
T,Set1,42,31,0,647029,0.0,0.0
T,Set1,43,31,0,764250,0.0,0.0
T,Set1,44,31,0,877203,0.0,0.0
T,Set1,45,31,0,657348,0.0,0.0
T,Set1,46,31,0,595681,0.0,0.0
T,Set1,47,31,0,698829,0.0,0.0
T,Set1,48,31,1,621626,0.0,0.0
T,Set2,01,31,19,740984,0.0,0.0
T,Set2,02,31,1,600903,0.0,0.0
T,Set2,03,31,0,822180,0.0,0.0
T,Set2,04,31,0,726253,0.0,0.0
T,Set2,05,31,0,635437,0.0,0.0
T,Set2,06,31,0,702965,0.0,0.0
T,Set2,07,31,0,675264,0.0,0.0
T,Set2,08,31,0,681144,0.0,0.0
T,Set2,09,31,1,436090,0.0,0.0
T,Set2,10,31,35,608769,0.01,0.01
T,Set2,11,31,0,604342,0.0,0.0
T,Set2,12,31,0,509207,0.0,0.0
T,Set2,13,31,39,684694,0.01,0.01
T,Set2,14,31,0,630317,0.0,0.0
T,Set2,15,31,2,713571,0.0,0.0
T,Set2,16,31,3,832532,0.0,0.0
T,Set2,17,31,0,723550,0.0,0.0
T,Set2,18,31,0,607535,0.0,0.0
T,Set2,19,31,0,698680,0.0,0.0
T,Set2,20,31,0,746124,0.0,0.0
T,Set2,21,31,1,662683,0.0,0.0
T,Set2,22,31,1,650959,0.0,0.0
T,Set2,23,31,87,533017,0.02,0.02
T,Set2,24,31,0,1028315,0.0,0.0
T,Set2,25,31,0,435456,0.0,0.0
T,Set2,26,31,0,583985,0.0,0.0
T,Set2,27,31,0,686104,0.0,0.0
T,Set2,28,31,0,636763,0.0,0.0
T,Set2,29,31,1,675368,0.0,0.0
T,Set2,30,31,0,614920,0.0,0.0
T,Set2,32,31,0,624430,0.0,0.0
T,Set2,33,31,0,731377,0.0,0.0
T,Set2,34,31,0,666456,0.0,0.0
T,Set2,35,31,1,695550,0.0,0.0
T,Set2,36,31,0,533522,0.0,0.0
T,Set2,37,31,0,607904,0.0,0.0
T,Set2,38,31,0,590492,0.0,0.0
T,Set2,39,31,1,693329,0.0,0.0
T,Set2,40,31,0,981346,0.0,0.0
T,Set2,41,31,0,682417,0.0,0.0
T,Set2,42,31,0,765278,0.0,0.0
T,Set2,43,31,0,880597,0.0,0.0
T,Set2,44,31,0,588955,0.0,0.0
T,Set2,45,31,0,504454,0.0,0.0
T,Set2,46,31,0,810745,0.0,0.0
T,Set2,47,31,0,729430,0.0,0.0
T,Set2,48,31,1,626537,0.0,0.0
T,Set3,01,31,7,522736,0.0,0.0
T,Set3,02,31,0,376922,0.0,0.0
T,Set3,03,31,1,471901,0.0,0.0
T,Set3,04,31,0,613745,0.0,0.0
T,Set3,05,31,1,471595,0.0,0.0
T,Set3,06,31,1,510063,0.0,0.0
T,Set3,07,31,1,322190,0.0,0.0
T,Set3,08,31,0,565743,0.0,0.0
T,Set3,09,31,0,535432,0.0,0.0
T,Set3,10,31,31,482710,0.01,0.01
T,Set3,11,31,0,402646,0.0,0.0
T,Set3,12,31,0,774122,0.0,0.0
T,Set3,13,31,12,356470,0.0,0.0
T,Set3,14,31,1,689051,0.0,0.0
T,Set3,15,31,6,755904,0.0,0.0
T,Set3,16,31,4,589942,0.0,0.0
T,Set3,17,31,0,481073,0.0,0.0
T,Set3,18,31,1,604560,0.0,0.0
T,Set3,19,31,2,709057,0.0,0.0
T,Set3,20,31,0,628477,0.0,0.0
T,Set3,21,31,0,480165,0.0,0.0
T,Set3,22,31,0,455809,0.0,0.0
T,Set3,23,31,109,600018,0.02,0.02
T,Set3,24,31,2,635161,0.0,0.0
T,Set3,25,31,0,284795,0.0,0.0
T,Set3,26,31,0,575463,0.0,0.0
T,Set3,27,31,0,450234,0.0,0.0
T,Set3,28,31,0,284717,0.0,0.0
T,Set3,29,31,1,407463,0.0,0.0
T,Set3,30,31,0,333803,0.0,0.0
T,Set3,32,31,0,680767,0.0,0.0
T,Set3,33,31,0,461972,0.0,0.0
T,Set3,34,31,0,572614,0.0,0.0
T,Set3,35,31,1,307460,0.0,0.0
T,Set3,36,31,0,396936,0.0,0.0
T,Set3,37,31,0,378078,0.0,0.0
T,Set3,38,31,0,443384,0.0,0.0
T,Set3,39,31,0,511738,0.0,0.0
T,Set3,40,31,1,673086,0.0,0.0
T,Set3,41,31,0,679858,0.0,0.0
T,Set3,42,31,0,406050,0.0,0.0
T,Set3,43,31,0,538908,0.0,0.0
T,Set3,44,31,0,426884,0.0,0.0
T,Set3,45,31,0,380410,0.0,0.0
T,Set3,46,31,0,521870,0.0,0.0
T,Set3,47,31,1,613812,0.0,0.0
T,Set3,48,31,1,698162,0.0,0.0
T,Set1,01,18,0,681223,0.0,0.0
T,Set1,02,18,0,559349,0.0,0.0
T,Set1,03,18,1,694455,0.0,0.0
T,Set1,04,18,1,584755,0.0,0.0
T,Set1,05,18,0,693708,0.0,0.0
T,Set1,06,18,0,652522,0.0,0.0
T,Set1,07,18,0,661860,0.0,0.0
T,Set1,08,18,0,697079,0.0,0.0
T,Set1,09,18,0,722325,0.0,0.0
T,Set1,10,18,2,819362,0.0,0.0
T,Set1,11,18,0,666345,0.0,0.0
T,Set1,12,18,0,508394,0.0,0.0
T,Set1,13,18,8,622116,0.0,0.0
T,Set1,14,18,206,666038,0.03,0.03
T,Set1,15,18,0,700503,0.0,0.0
T,Set1,16,18,3,659421,0.0,0.0
T,Set1,17,18,0,649326,0.0,0.0
T,Set1,19,18,0,632509,0.0,0.0
T,Set1,20,18,3,1069884,0.0,0.0
T,Set1,21,18,1,601771,0.0,0.0
T,Set1,22,18,5,557655,0.0,0.0
T,Set1,23,18,2,667898,0.0,0.0
T,Set1,24,18,0,575151,0.0,0.0
T,Set1,25,18,0,469824,0.0,0.0
T,Set1,26,18,0,680819,0.0,0.0
T,Set1,27,18,1,497186,0.0,0.0
T,Set1,28,18,0,724335,0.0,0.0
T,Set1,29,18,0,618673,0.0,0.0
T,Set1,30,18,0,586235,0.0,0.0
T,Set1,31,18,1,636966,0.0,0.0
T,Set1,32,18,0,823799,0.0,0.0
T,Set1,33,18,1,430433,0.0,0.0
T,Set1,34,18,0,485391,0.0,0.0
T,Set1,35,18,0,675415,0.0,0.0
T,Set1,36,18,0,388948,0.0,0.0
T,Set1,37,18,0,714834,0.0,0.0
T,Set1,38,18,0,502888,0.0,0.0
T,Set1,39,18,0,746041,0.0,0.0
T,Set1,40,18,0,844512,0.0,0.0
T,Set1,41,18,0,701472,0.0,0.0
T,Set1,42,18,0,647029,0.0,0.0
T,Set1,43,18,0,764250,0.0,0.0
T,Set1,44,18,0,877203,0.0,0.0
T,Set1,45,18,5,657348,0.0,0.0
T,Set1,46,18,0,595681,0.0,0.0
T,Set1,47,18,0,698829,0.0,0.0
T,Set1,48,18,18,621626,0.0,0.0
T,Set2,01,18,0,740984,0.0,0.0
T,Set2,02,18,0,600903,0.0,0.0
T,Set2,03,18,0,822180,0.0,0.0
T,Set2,04,18,0,726253,0.0,0.0
T,Set2,05,18,0,635437,0.0,0.0
T,Set2,06,18,0,702965,0.0,0.0
T,Set2,07,18,1,675264,0.0,0.0
T,Set2,08,18,0,681144,0.0,0.0
T,Set2,09,18,0,436090,0.0,0.0
T,Set2,10,18,1,608769,0.0,0.0
T,Set2,11,18,0,604342,0.0,0.0
T,Set2,12,18,0,509207,0.0,0.0
T,Set2,13,18,19,684694,0.0,0.0
T,Set2,14,18,214,630317,0.03,0.03
T,Set2,15,18,0,713571,0.0,0.0
T,Set2,16,18,5,832532,0.0,0.0
T,Set2,17,18,0,723550,0.0,0.0
T,Set2,19,18,0,698680,0.0,0.0
T,Set2,20,18,0,746124,0.0,0.0
T,Set2,21,18,0,662683,0.0,0.0
T,Set2,22,18,0,650959,0.0,0.0
T,Set2,23,18,0,533017,0.0,0.0
T,Set2,24,18,0,1028315,0.0,0.0
T,Set2,25,18,0,435456,0.0,0.0
T,Set2,26,18,0,583985,0.0,0.0
T,Set2,27,18,2,686104,0.0,0.0
T,Set2,28,18,0,636763,0.0,0.0
T,Set2,29,18,0,675368,0.0,0.0
T,Set2,30,18,0,614920,0.0,0.0
T,Set2,31,18,1,508552,0.0,0.0
T,Set2,32,18,1,624430,0.0,0.0
T,Set2,33,18,1,731377,0.0,0.0
T,Set2,34,18,0,666456,0.0,0.0
T,Set2,35,18,1,695550,0.0,0.0
T,Set2,36,18,0,533522,0.0,0.0
T,Set2,37,18,0,607904,0.0,0.0
T,Set2,38,18,3,590492,0.0,0.0
T,Set2,39,18,1,693329,0.0,0.0
T,Set2,40,18,0,981346,0.0,0.0
T,Set2,41,18,0,682417,0.0,0.0
T,Set2,42,18,0,765278,0.0,0.0
T,Set2,43,18,0,880597,0.0,0.0
T,Set2,44,18,0,588955,0.0,0.0
T,Set2,45,18,6,504454,0.0,0.0
T,Set2,46,18,0,810745,0.0,0.0
T,Set2,47,18,1,729430,0.0,0.0
T,Set2,48,18,16,626537,0.0,0.0
T,Set3,01,18,0,522736,0.0,0.0
T,Set3,02,18,0,376922,0.0,0.0
T,Set3,03,18,0,471901,0.0,0.0
T,Set3,04,18,0,613745,0.0,0.0
T,Set3,05,18,0,471595,0.0,0.0
T,Set3,06,18,0,510063,0.0,0.0
T,Set3,07,18,0,322190,0.0,0.0
T,Set3,08,18,0,565743,0.0,0.0
T,Set3,09,18,0,535432,0.0,0.0
T,Set3,10,18,0,482710,0.0,0.0
T,Set3,11,18,0,402646,0.0,0.0
T,Set3,12,18,0,774122,0.0,0.0
T,Set3,13,18,5,356470,0.0,0.0
T,Set3,14,18,247,689051,0.04,0.04
T,Set3,15,18,0,755904,0.0,0.0
T,Set3,16,18,5,589942,0.0,0.0
T,Set3,17,18,1,481073,0.0,0.0
T,Set3,19,18,0,709057,0.0,0.0
T,Set3,20,18,1,628477,0.0,0.0
T,Set3,21,18,1,480165,0.0,0.0
T,Set3,22,18,1,455809,0.0,0.0
T,Set3,23,18,1,600018,0.0,0.0
T,Set3,24,18,0,635161,0.0,0.0
T,Set3,25,18,0,284795,0.0,0.0
T,Set3,26,18,0,575463,0.0,0.0
T,Set3,27,18,0,450234,0.0,0.0
T,Set3,28,18,1,284717,0.0,0.0
T,Set3,29,18,0,407463,0.0,0.0
T,Set3,30,18,0,333803,0.0,0.0
T,Set3,31,18,0,626498,0.0,0.0
T,Set3,32,18,0,680767,0.0,0.0
T,Set3,33,18,0,461972,0.0,0.0
T,Set3,34,18,0,572614,0.0,0.0
T,Set3,35,18,0,307460,0.0,0.0
T,Set3,36,18,0,396936,0.0,0.0
T,Set3,37,18,0,378078,0.0,0.0
T,Set3,38,18,1,443384,0.0,0.0
T,Set3,39,18,1,511738,0.0,0.0
T,Set3,40,18,0,673086,0.0,0.0
T,Set3,41,18,0,679858,0.0,0.0
T,Set3,42,18,0,406050,0.0,0.0
T,Set3,43,18,0,538908,0.0,0.0
T,Set3,44,18,0,426884,0.0,0.0
T,Set3,45,18,2,380410,0.0,0.0
T,Set3,46,18,0,521870,0.0,0.0
T,Set3,47,18,2,613812,0.0,0.0
T,Set3,48,18,23,698162,0.0,0.0
T,Set1,01,09,2,681223,0.0,0.0
T,Set1,02,09,0,559349,0.0,0.0
T,Set1,03,09,0,694455,0.0,0.0
T,Set1,04,09,0,584755,0.0,0.0
T,Set1,05,09,1,693708,0.0,0.0
T,Set1,06,09,1,652522,0.0,0.0
T,Set1,07,09,1,661860,0.0,0.0
T,Set1,08,09,0,697079,0.0,0.0
T,Set1,10,09,1,819362,0.0,0.0
T,Set1,11,09,0,666345,0.0,0.0
T,Set1,12,09,0,508394,0.0,0.0
T,Set1,13,09,51,622116,0.01,0.01
T,Set1,14,09,0,666038,0.0,0.0
T,Set1,15,09,0,700503,0.0,0.0
T,Set1,16,09,0,659421,0.0,0.0
T,Set1,17,09,0,649326,0.0,0.0
T,Set1,18,09,0,419022,0.0,0.0
T,Set1,19,09,0,632509,0.0,0.0
T,Set1,20,09,2,1069884,0.0,0.0
T,Set1,21,09,0,601771,0.0,0.0
T,Set1,22,09,0,557655,0.0,0.0
T,Set1,23,09,18,667898,0.0,0.0
T,Set1,24,09,28,575151,0.0,0.0
T,Set1,25,09,2,469824,0.0,0.0
T,Set1,26,09,0,680819,0.0,0.0
T,Set1,27,09,0,497186,0.0,0.0
T,Set1,28,09,0,724335,0.0,0.0
T,Set1,29,09,0,618673,0.0,0.0
T,Set1,30,09,0,586235,0.0,0.0
T,Set1,31,09,1,636966,0.0,0.0
T,Set1,32,09,0,823799,0.0,0.0
T,Set1,33,09,0,430433,0.0,0.0
T,Set1,34,09,0,485391,0.0,0.0
T,Set1,35,09,2,675415,0.0,0.0
T,Set1,36,09,1,388948,0.0,0.0
T,Set1,37,09,44,714834,0.01,0.01
T,Set1,38,09,1,502888,0.0,0.0
T,Set1,39,09,0,746041,0.0,0.0
T,Set1,40,09,0,844512,0.0,0.0
T,Set1,41,09,332,701472,0.05,0.05
T,Set1,42,09,0,647029,0.0,0.0
T,Set1,43,09,0,764250,0.0,0.0
T,Set1,44,09,0,877203,0.0,0.0
T,Set1,45,09,1,657348,0.0,0.0
T,Set1,46,09,0,595681,0.0,0.0
T,Set1,47,09,2,698829,0.0,0.0
T,Set1,48,09,2,621626,0.0,0.0
T,Set2,01,09,2,740984,0.0,0.0
T,Set2,02,09,0,600903,0.0,0.0
T,Set2,03,09,0,822180,0.0,0.0
T,Set2,04,09,0,726253,0.0,0.0
T,Set2,05,09,0,635437,0.0,0.0
T,Set2,06,09,0,702965,0.0,0.0
T,Set2,07,09,0,675264,0.0,0.0
T,Set2,08,09,0,681144,0.0,0.0
T,Set2,10,09,0,608769,0.0,0.0
T,Set2,11,09,0,604342,0.0,0.0
T,Set2,12,09,0,509207,0.0,0.0
T,Set2,13,09,63,684694,0.01,0.01
T,Set2,14,09,0,630317,0.0,0.0
T,Set2,15,09,0,713571,0.0,0.0
T,Set2,16,09,0,832532,0.0,0.0
T,Set2,17,09,0,723550,0.0,0.0
T,Set2,18,09,1,607535,0.0,0.0
T,Set2,19,09,0,698680,0.0,0.0
T,Set2,20,09,3,746124,0.0,0.0
T,Set2,21,09,0,662683,0.0,0.0
T,Set2,22,09,0,650959,0.0,0.0
T,Set2,23,09,17,533017,0.0,0.0
T,Set2,24,09,32,1028315,0.0,0.0
T,Set2,25,09,4,435456,0.0,0.0
T,Set2,26,09,0,583985,0.0,0.0
T,Set2,27,09,0,686104,0.0,0.0
T,Set2,28,09,0,636763,0.0,0.0
T,Set2,29,09,0,675368,0.0,0.0
T,Set2,30,09,0,614920,0.0,0.0
T,Set2,31,09,0,508552,0.0,0.0
T,Set2,32,09,1,624430,0.0,0.0
T,Set2,33,09,0,731377,0.0,0.0
T,Set2,34,09,0,666456,0.0,0.0
T,Set2,35,09,2,695550,0.0,0.0
T,Set2,36,09,6,533522,0.0,0.0
T,Set2,37,09,41,607904,0.01,0.01
T,Set2,38,09,1,590492,0.0,0.0
T,Set2,39,09,0,693329,0.0,0.0
T,Set2,40,09,0,981346,0.0,0.0
T,Set2,41,09,297,682417,0.04,0.04
T,Set2,42,09,0,765278,0.0,0.0
T,Set2,43,09,0,880597,0.0,0.0
T,Set2,44,09,0,588955,0.0,0.0
T,Set2,45,09,0,504454,0.0,0.0
T,Set2,46,09,0,810745,0.0,0.0
T,Set2,47,09,0,729430,0.0,0.0
T,Set2,48,09,0,626537,0.0,0.0
T,Set3,01,09,1,522736,0.0,0.0
T,Set3,02,09,0,376922,0.0,0.0
T,Set3,03,09,1,471901,0.0,0.0
T,Set3,04,09,0,613745,0.0,0.0
T,Set3,05,09,0,471595,0.0,0.0
T,Set3,06,09,0,510063,0.0,0.0
T,Set3,07,09,0,322190,0.0,0.0
T,Set3,08,09,0,565743,0.0,0.0
T,Set3,10,09,0,482710,0.0,0.0
T,Set3,11,09,0,402646,0.0,0.0
T,Set3,12,09,0,774122,0.0,0.0
T,Set3,13,09,29,356470,0.01,0.01
T,Set3,14,09,0,689051,0.0,0.0
T,Set3,15,09,0,755904,0.0,0.0
T,Set3,16,09,0,589942,0.0,0.0
T,Set3,17,09,0,481073,0.0,0.0
T,Set3,18,09,0,604560,0.0,0.0
T,Set3,19,09,1,709057,0.0,0.0
T,Set3,20,09,0,628477,0.0,0.0
T,Set3,21,09,0,480165,0.0,0.0
T,Set3,22,09,0,455809,0.0,0.0
T,Set3,23,09,20,600018,0.0,0.0
T,Set3,24,09,26,635161,0.0,0.0
T,Set3,25,09,2,284795,0.0,0.0
T,Set3,26,09,0,575463,0.0,0.0
T,Set3,27,09,1,450234,0.0,0.0
T,Set3,28,09,1,284717,0.0,0.0
T,Set3,29,09,1,407463,0.0,0.0
T,Set3,30,09,0,333803,0.0,0.0
T,Set3,31,09,0,626498,0.0,0.0
T,Set3,32,09,0,680767,0.0,0.0
T,Set3,33,09,0,461972,0.0,0.0
T,Set3,34,09,0,572614,0.0,0.0
T,Set3,35,09,1,307460,0.0,0.0
T,Set3,36,09,3,396936,0.0,0.0
T,Set3,37,09,24,378078,0.01,0.01
T,Set3,38,09,2,443384,0.0,0.0
T,Set3,39,09,0,511738,0.0,0.0
T,Set3,40,09,1,673086,0.0,0.0
T,Set3,41,09,325,679858,0.05,0.05
T,Set3,42,09,1,406050,0.0,0.0
T,Set3,43,09,0,538908,0.0,0.0
T,Set3,44,09,0,426884,0.0,0.0
T,Set3,45,09,1,380410,0.0,0.0
T,Set3,46,09,0,521870,0.0,0.0
T,Set3,47,09,0,613812,0.0,0.0
T,Set3,48,09,0,698162,0.0,0.0
T,Set1,01,47,0,681223,0.0,0.0
T,Set1,02,47,0,559349,0.0,0.0
T,Set1,03,47,0,694455,0.0,0.0
T,Set1,04,47,0,584755,0.0,0.0
T,Set1,05,47,0,693708,0.0,0.0
T,Set1,06,47,0,652522,0.0,0.0
T,Set1,07,47,0,661860,0.0,0.0
T,Set1,08,47,1,697079,0.0,0.0
T,Set1,09,47,0,722325,0.0,0.0
T,Set1,10,47,0,819362,0.0,0.0
T,Set1,11,47,0,666345,0.0,0.0
T,Set1,12,47,0,508394,0.0,0.0
T,Set1,13,47,0,622116,0.0,0.0
T,Set1,14,47,0,666038,0.0,0.0
T,Set1,15,47,0,700503,0.0,0.0
T,Set1,16,47,0,659421,0.0,0.0
T,Set1,17,47,1,649326,0.0,0.0
T,Set1,18,47,0,419022,0.0,0.0
T,Set1,19,47,0,632509,0.0,0.0
T,Set1,20,47,0,1069884,0.0,0.0
T,Set1,21,47,0,601771,0.0,0.0
T,Set1,22,47,0,557655,0.0,0.0
T,Set1,23,47,2,667898,0.0,0.0
T,Set1,24,47,0,575151,0.0,0.0
T,Set1,25,47,0,469824,0.0,0.0
T,Set1,26,47,0,680819,0.0,0.0
T,Set1,27,47,0,497186,0.0,0.0
T,Set1,28,47,1,724335,0.0,0.0
T,Set1,29,47,0,618673,0.0,0.0
T,Set1,30,47,0,586235,0.0,0.0
T,Set1,31,47,4,636966,0.0,0.0
T,Set1,32,47,0,823799,0.0,0.0
T,Set1,33,47,0,430433,0.0,0.0
T,Set1,34,47,0,485391,0.0,0.0
T,Set1,35,47,1,675415,0.0,0.0
T,Set1,36,47,2,388948,0.0,0.0
T,Set1,37,47,3,714834,0.0,0.0
T,Set1,38,47,0,502888,0.0,0.0
T,Set1,39,47,2,746041,0.0,0.0
T,Set1,40,47,0,844512,0.0,0.0
T,Set1,41,47,0,701472,0.0,0.0
T,Set1,42,47,0,647029,0.0,0.0
T,Set1,43,47,1,764250,0.0,0.0
T,Set1,44,47,3,877203,0.0,0.0
T,Set1,45,47,0,657348,0.0,0.0
T,Set1,46,47,0,595681,0.0,0.0
T,Set1,48,47,47,621626,0.01,0.01
T,Set2,01,47,0,740984,0.0,0.0
T,Set2,02,47,0,600903,0.0,0.0
T,Set2,03,47,0,822180,0.0,0.0
T,Set2,04,47,0,726253,0.0,0.0
T,Set2,05,47,0,635437,0.0,0.0
T,Set2,06,47,0,702965,0.0,0.0
T,Set2,07,47,0,675264,0.0,0.0
T,Set2,08,47,0,681144,0.0,0.0
T,Set2,09,47,0,436090,0.0,0.0
T,Set2,10,47,0,608769,0.0,0.0
T,Set2,11,47,0,604342,0.0,0.0
T,Set2,12,47,0,509207,0.0,0.0
T,Set2,13,47,1,684694,0.0,0.0
T,Set2,14,47,2,630317,0.0,0.0
T,Set2,15,47,0,713571,0.0,0.0
T,Set2,16,47,0,832532,0.0,0.0
T,Set2,17,47,2,723550,0.0,0.0
T,Set2,18,47,1,607535,0.0,0.0
T,Set2,19,47,0,698680,0.0,0.0
T,Set2,20,47,0,746124,0.0,0.0
T,Set2,21,47,0,662683,0.0,0.0
T,Set2,22,47,0,650959,0.0,0.0
T,Set2,23,47,0,533017,0.0,0.0
T,Set2,24,47,0,1028315,0.0,0.0
T,Set2,25,47,0,435456,0.0,0.0
T,Set2,26,47,1,583985,0.0,0.0
T,Set2,27,47,0,686104,0.0,0.0
T,Set2,28,47,0,636763,0.0,0.0
T,Set2,29,47,0,675368,0.0,0.0
T,Set2,30,47,0,614920,0.0,0.0
T,Set2,31,47,2,508552,0.0,0.0
T,Set2,32,47,0,624430,0.0,0.0
T,Set2,33,47,0,731377,0.0,0.0
T,Set2,34,47,0,666456,0.0,0.0
T,Set2,35,47,0,695550,0.0,0.0
T,Set2,36,47,0,533522,0.0,0.0
T,Set2,37,47,1,607904,0.0,0.0
T,Set2,38,47,0,590492,0.0,0.0
T,Set2,39,47,1,693329,0.0,0.0
T,Set2,40,47,1,981346,0.0,0.0
T,Set2,41,47,1,682417,0.0,0.0
T,Set2,42,47,0,765278,0.0,0.0
T,Set2,43,47,2,880597,0.0,0.0
T,Set2,44,47,0,588955,0.0,0.0
T,Set2,45,47,0,504454,0.0,0.0
T,Set2,46,47,2,810745,0.0,0.0
T,Set2,48,47,44,626537,0.01,0.01
T,Set3,01,47,0,522736,0.0,0.0
T,Set3,02,47,0,376922,0.0,0.0
T,Set3,03,47,0,471901,0.0,0.0
T,Set3,04,47,0,613745,0.0,0.0
T,Set3,05,47,0,471595,0.0,0.0
T,Set3,06,47,0,510063,0.0,0.0
T,Set3,07,47,0,322190,0.0,0.0
T,Set3,08,47,0,565743,0.0,0.0
T,Set3,09,47,0,535432,0.0,0.0
T,Set3,10,47,0,482710,0.0,0.0
T,Set3,11,47,0,402646,0.0,0.0
T,Set3,12,47,0,774122,0.0,0.0
T,Set3,13,47,1,356470,0.0,0.0
T,Set3,14,47,1,689051,0.0,0.0
T,Set3,15,47,0,755904,0.0,0.0
T,Set3,16,47,0,589942,0.0,0.0
T,Set3,17,47,0,481073,0.0,0.0
T,Set3,18,47,0,604560,0.0,0.0
T,Set3,19,47,0,709057,0.0,0.0
T,Set3,20,47,1,628477,0.0,0.0
T,Set3,21,47,0,480165,0.0,0.0
T,Set3,22,47,0,455809,0.0,0.0
T,Set3,23,47,1,600018,0.0,0.0
T,Set3,24,47,0,635161,0.0,0.0
T,Set3,25,47,0,284795,0.0,0.0
T,Set3,26,47,0,575463,0.0,0.0
T,Set3,27,47,0,450234,0.0,0.0
T,Set3,28,47,0,284717,0.0,0.0
T,Set3,29,47,0,407463,0.0,0.0
T,Set3,30,47,0,333803,0.0,0.0
T,Set3,31,47,1,626498,0.0,0.0
T,Set3,32,47,0,680767,0.0,0.0
T,Set3,33,47,0,461972,0.0,0.0
T,Set3,34,47,0,572614,0.0,0.0
T,Set3,35,47,0,307460,0.0,0.0
T,Set3,36,47,0,396936,0.0,0.0
T,Set3,37,47,0,378078,0.0,0.0
T,Set3,38,47,0,443384,0.0,0.0
T,Set3,39,47,5,511738,0.0,0.0
T,Set3,40,47,0,673086,0.0,0.0
T,Set3,41,47,0,679858,0.0,0.0
T,Set3,42,47,0,406050,0.0,0.0
T,Set3,43,47,1,538908,0.0,0.0
T,Set3,44,47,0,426884,0.0,0.0
T,Set3,45,47,0,380410,0.0,0.0
T,Set3,46,47,0,521870,0.0,0.0
T,Set3,48,47,37,698162,0.01,0.01
T,Set1,01,46,0,681223,0.0,0.0
T,Set1,02,46,0,559349,0.0,0.0
T,Set1,03,46,1,694455,0.0,0.0
T,Set1,04,46,0,584755,0.0,0.0
T,Set1,05,46,0,693708,0.0,0.0
T,Set1,06,46,1,652522,0.0,0.0
T,Set1,07,46,1,661860,0.0,0.0
T,Set1,08,46,0,697079,0.0,0.0
T,Set1,09,46,0,722325,0.0,0.0
T,Set1,10,46,1,819362,0.0,0.0
T,Set1,11,46,0,666345,0.0,0.0
